URL;Method;POST Params;JSON Params;XML Params;Attacked Parameters;Response Status Code;Response Time
"https://miaplicacionweb.azurewebsites.net/Scripts/";"GET";"";"";"";"";"403";"98,6"
"https://miaplicacionweb.azurewebsites.net/Scripts/jquery-1.10.2.min.js";"GET";"";"";"";"";"404";"52,7"
"https://miaplicacionweb.azurewebsites.net/Scripts/passwordscheck.js";"GET";"";"";"";"";"200";"771,5"
"https://miaplicacionweb.azurewebsites.net/Account/ForgotPassword";"GET";"";"";"";"";"200";"168,9"
"https://miaplicacionweb.azurewebsites.net/Account/Login";"POST";"__RequestVerificationToken,Email,Password,RememberMe";"";"";"__RequestVerificationToken,Email,Password,RememberMe";"200";"177,7"
"https://miaplicacionweb.azurewebsites.net/Account/ExternalLogin";"POST";"__RequestVerificationToken,provider";"";"";"__RequestVerificationToken,provider";"302";"103,5"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword,g-recaptcha-response";"";"";"__RequestVerificationToken,Email,password,ConfirmPassword,g-recaptcha-response";"200";"144,5"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/CondicionesUso?text=";"GET";"";"";"";"text";"200";"57,6"
"https://miaplicacionweb.azurewebsites.net/Account/Register?text=";"GET";"";"";"";"text";"200";"73,2"
"https://miaplicacionweb.azurewebsites.net/Casa/VistaCrearCasa";"POST";"__RequestVerificationToken,codigo_mfa,id_usuario,email,pais_residencia,localidad,idioma_hablado,num_hijos,sexo_recibir,sexo_hijos,edad_recibir,capacidad_max,duracion_estancia_max,fotoCasa1,fotoCasa2,fotoCasa3,fotoCasa4,precio,descripcion";"";"";"__RequestVerificationToken,codigo_mfa,id_usuario,email,pais_residencia,localidad,idioma_hablado,num_hijos,sexo_recibir,sexo_hijos,edad_recibir,capacidad_max,duracion_estancia_max,fotoCasa1,fotoCasa2,fotoCasa3,fotoCasa4,precio,descripcion";"500";"53,7"
"https://miaplicacionweb.azurewebsites.net/Hijo/VistaCrearHijo";"POST";"__RequestVerificationToken,id_usuario,nombre,apellidos,fecha_nac,direccion,localidad,cod_postal,pais,telefono,sexo,nacionalidad,idioma_casa,idioma_deseado,duracion_estimada,edad,email,fotoHijo1,fotoHijo2,descripcion";"";"";"__RequestVerificationToken,id_usuario,nombre,apellidos,fecha_nac,direccion,localidad,cod_postal,pais,telefono,sexo,nacionalidad,idioma_casa,idioma_deseado,duracion_estimada,edad,email,fotoHijo1,fotoHijo2,descripcion";"200";"84,0"
