URL;Method;POST Params;JSON Params;XML Params;Response Status Code;Response Time;Parsing Source
"https://miaplicacionweb.azurewebsites.net/Home/Contact?q607943927=3&email=netsparker%40example.com&message=3";"GET";"";"";"";"200";"78,7";"DomParserExtractedResource"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorIzq?text=";"GET";"";"";"";"200";"59,7";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorIzq?text=3";"GET";"";"";"";"200";"61,7";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorCentro?text=";"GET";"";"";"";"200";"75,5";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorCentro?text=3";"GET";"";"";"";"200";"52,8";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Manage?text=";"GET";"";"";"";"200";"117,2";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Manage?text=3";"GET";"";"";"";"200";"127,9";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorDcha?text=";"GET";"";"";"";"200";"64,5";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Home/ContenedorDcha?text=3";"GET";"";"";"";"200";"57,6";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/AvisoLegal?text=";"GET";"";"";"";"200";"71,3";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/AvisoLegal?text=3";"GET";"";"";"";"200";"441,4";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/PoliticaCookies?text=";"GET";"";"";"";"200";"62,5";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/PoliticaCookies?text=3";"GET";"";"";"";"200";"54,7";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/MetodosPago?text=";"GET";"";"";"";"200";"56,6";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/MetodosPago?text=3";"GET";"";"";"";"200";"86,9";"DomParser"
"https://miaplicacionweb.azurewebsites.net/bundles/jqueryval";"GET";"";"";"";"200";"91,8";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/bundles/jqueryval?v=uAfBJfRvihXVS4ogzhnXA6SiBDLYYjMN4O2KifwGop01";"GET";"";"";"";"200";"57,6";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Scripts/";"GET";"";"";"";"403";"98,6";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/Scripts/jquery-1.10.2.min.js";"GET";"";"";"";"404";"52,7";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Scripts/passwordscheck.js";"GET";"";"";"";"200";"771,5";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Account/ForgotPassword";"GET";"";"";"";"200";"168,9";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Account/ExternalLogin";"GET";"";"";"";"404";"61,5";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Account/Login";"POST";"__RequestVerificationToken,Email,Password,RememberMe";"";"";"200";"177,7";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Account/Login";"POST";"__RequestVerificationToken,Email,Password,RememberMe";"";"";"500";"95,7";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Account/ExternalLogin";"POST";"__RequestVerificationToken,provider";"";"";"302";"103,5";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Content/passwordscheck.css";"GET";"";"";"";"404";"72,3";"TextParser"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword";"";"";"200";"103,5";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword";"";"";"500";"118,2";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/CondicionesUso?text=";"GET";"";"";"";"200";"57,6";"DomParser"
"https://miaplicacionweb.azurewebsites.net/VistasFooter/CondicionesUso?text=3";"GET";"";"";"";"200";"60,5";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword,g-recaptcha-response";"";"";"200";"144,5";"DomParserExtractedResource"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword,g-recaptcha-response";"";"";"500";"110,4";"DomParserExtractedResource"
"https://miaplicacionweb.azurewebsites.net/Account/Register";"POST";"__RequestVerificationToken,Email,password,ConfirmPassword,g-recaptcha-response";"";"";"200";"102,5";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Account/Register?text=";"GET";"";"";"";"200";"73,2";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Account/Register?text=3";"GET";"";"";"";"200";"238,3";"DomParser"
"https://miaplicacionweb.azurewebsites.net/Casa/VistaCrearCasa";"POST";"__RequestVerificationToken,codigo_mfa,id_usuario,email,pais_residencia,localidad,idioma_hablado,num_hijos,sexo_recibir,sexo_hijos,edad_recibir,capacidad_max,duracion_estancia_max,fotoCasa1,fotoCasa2,fotoCasa3,fotoCasa4,precio,descripcion";"";"";"500";"53,7";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Casa/VistaCrearCasa";"POST";"__RequestVerificationToken,codigo_mfa,id_usuario,email,pais_residencia,localidad,idioma_hablado,num_hijos,sexo_recibir,sexo_hijos,edad_recibir,capacidad_max,duracion_estancia_max,fotoCasa1,fotoCasa2,fotoCasa3,fotoCasa4,precio,descripcion";"";"";"500";"203,1";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Hijo/VistaCrearHijo";"POST";"__RequestVerificationToken,id_usuario,nombre,apellidos,fecha_nac,direccion,localidad,cod_postal,pais,telefono,sexo,nacionalidad,idioma_casa,idioma_deseado,duracion_estimada,edad,email,fotoHijo1,fotoHijo2,descripcion";"";"";"200";"84,0";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/Hijo/VistaCrearHijo";"POST";"__RequestVerificationToken,id_usuario,nombre,apellidos,fecha_nac,direccion,localidad,cod_postal,pais,telefono,sexo,nacionalidad,idioma_casa,idioma_deseado,duracion_estimada,edad,email,fotoHijo1,fotoHijo2,descripcion";"";"";"200";"65,4";"TextParserForm"
"https://miaplicacionweb.azurewebsites.net/ImagenesCasa/";"GET";"";"";"";"403";"54,7";"RelatedLink"
"https://miaplicacionweb.azurewebsites.net/Casa/VistaDeCasa";"GET";"";"";"";"500";"46,9";"RelatedLink"
